FPR,LASSO (AUC=0.80),GAM (AUC=0.74),BLR (AUC=0.73),MLP (AUC=0.74),RF (AUC=0.73) NEW,RFÊ(AUC=0.73) OLD
0,0,0,0,0.000961538,0,0.00096154
0.01010101,0.153846154,0.040384615,0.140423465,0.078185703,0.089724165,0.08439523
0.02020202,0.230769231,0.097265929,0.166355866,0.128846154,0.149708625,0.15576923
0.03030303,0.282963115,0.157604895,0.180769231,0.184615385,0.190850816,0.20412408
0.04040404,0.328846154,0.201923077,0.196212121,0.226923077,0.234586247,0.23835886
0.050505051,0.376923077,0.253846154,0.230312743,0.269230769,0.301893939,0.27503885
0.060606061,0.419230769,0.292191142,0.268356643,0.309615385,0.318249806,0.29181721
0.070707071,0.45,0.319230769,0.275291375,0.346153846,0.359226884,0.31952646
0.080808081,0.490384615,0.344230769,0.294230769,0.380769231,0.393790469,0.34847837
0.090909091,0.506503497,0.369230769,0.321503497,0.398076923,0.407117882,0.36781627
0.101010101,0.523620824,0.390384615,0.366394716,0.417307692,0.436798143,0.38816895
0.111111111,0.548076923,0.417307692,0.394337607,0.446153846,0.449916904,0.40378632
0.121212121,0.582459207,0.432692308,0.41544289,0.463461538,0.461650529,0.42115385
0.131313131,0.590384615,0.447183372,0.428972416,0.484615385,0.475785499,0.44031015
0.141414141,0.601923077,0.478846154,0.440967366,0.505769231,0.488960761,0.45465229
0.151515152,0.60785087,0.498004079,0.445745921,0.521153846,0.499791014,0.47784819
0.161616162,0.615384615,0.513947164,0.458770396,0.526923077,0.507024256,0.49923206
0.171717172,0.623076923,0.534615385,0.465666278,0.544230769,0.521275021,0.51660391
0.181818182,0.629626769,0.545979021,0.475087413,0.548076923,0.53832619,0.53101898
0.191919192,0.634615385,0.557692308,0.481536519,0.551923077,0.546710697,0.53653846
0.202020202,0.644230769,0.571153846,0.494327894,0.567307692,0.555769231,0.55
0.212121212,0.651923077,0.584615385,0.514714452,0.580769231,0.561719421,0.56598442
0.222222222,0.663461538,0.601923077,0.516880342,0.590384615,0.573545365,0.57368742
0.232323232,0.679040404,0.615384615,0.526738539,0.596153846,0.580769231,0.58914433
0.242424242,0.692307692,0.623076923,0.539831002,0.6,0.588069506,0.60009399
0.252525253,0.7,0.630769231,0.554632867,0.609615385,0.597063714,0.60961538
0.262626263,0.701923077,0.640384615,0.594900932,0.625,0.608092235,0.61923077
0.272727273,0.707692308,0.659615385,0.617395105,0.638461538,0.612707605,0.62307692
0.282828283,0.721153846,0.663461538,0.628846154,0.648076923,0.627101992,0.62340229
0.292929293,0.730769231,0.671153846,0.655089355,0.657692308,0.632455161,0.63653846
0.303030303,0.738461538,0.673076923,0.671445221,0.674708625,0.645903479,0.64057671
0.313131313,0.740384615,0.678846154,0.683323621,0.678846154,0.658348442,0.65
0.323232323,0.748076923,0.684615385,0.693424631,0.680769231,0.668590332,0.65889666
0.333333333,0.755769231,0.690384615,0.7,0.684615385,0.676923077,0.66346154
0.343434343,0.765384615,0.696153846,0.704972805,0.707692308,0.687952469,0.66929136
0.353535354,0.77209596,0.701923077,0.720532246,0.717307692,0.695715843,0.67631535
0.363636364,0.784615385,0.710227273,0.727185315,0.721153846,0.70900896,0.6853468
0.373737374,0.792307692,0.721153846,0.737859363,0.72720474,0.714003084,0.68846154
0.383838384,0.794230769,0.726923077,0.748076923,0.736538462,0.717307692,0.69064187
0.393939394,0.803846154,0.736538462,0.751777389,0.740384615,0.721720409,0.7
0.404040404,0.807692308,0.742307692,0.755001943,0.755769231,0.731497946,0.70699196
0.414141414,0.813461538,0.748076923,0.758032246,0.757692308,0.736538462,0.71819477
0.424242424,0.817307692,0.751923077,0.763286713,0.765384615,0.740145316,0.72496528
0.434343434,0.825,0.755769231,0.769094794,0.775,0.747981678,0.73076923
0.444444444,0.832692308,0.761538462,0.775213675,0.780769231,0.752679843,0.73461538
0.454545455,0.836538462,0.767307692,0.776923077,0.790384615,0.759833916,0.74749041
0.464646465,0.842307692,0.776923077,0.778846154,0.792307692,0.768199477,0.75675505
0.474747475,0.8463829,0.784615385,0.778846154,0.794230769,0.775,0.76730769
0.484848485,0.851923077,0.790384615,0.792307692,0.798076923,0.777039627,0.77692308
0.494949495,0.855769231,0.792307692,0.798076923,0.801923077,0.782692308,0.77913031
0.505050505,0.857692308,0.796153846,0.798076923,0.809615385,0.783645156,0.7876758
0.515151515,0.863660645,0.811538462,0.800728438,0.813461538,0.790688783,0.79707261
0.525252525,0.868120306,0.821153846,0.814801865,0.817307692,0.792876568,0.80240576
0.535353535,0.873076923,0.828651904,0.821153846,0.821153846,0.796599088,0.80961538
0.545454545,0.880769231,0.836538462,0.830681818,0.823076923,0.806063936,0.81346154
0.555555556,0.886538462,0.843376068,0.840598291,0.823076923,0.810372538,0.82002195
0.565656566,0.888461538,0.851923077,0.85027195,0.834615385,0.813448773,0.82307692
0.575757576,0.892307692,0.853846154,0.869609557,0.844230769,0.815717616,0.82988825
0.585858586,0.896153846,0.861538462,0.884615385,0.844230769,0.826649232,0.83461538
0.595959596,0.905516706,0.861538462,0.887402875,0.846153846,0.83197005,0.83490176
0.606060606,0.911538462,0.863461538,0.891928904,0.85,0.836538462,0.84185029
0.616161616,0.915384615,0.867307692,0.901923077,0.855769231,0.838296426,0.84423077
0.626262626,0.915384615,0.867307692,0.908954934,0.867987568,0.845282613,0.84832945
0.636363636,0.919230769,0.871153846,0.909615385,0.871153846,0.848076923,0.85576923
0.646464646,0.921153846,0.882692308,0.911538462,0.876923077,0.85,0.85854845
0.656565657,0.923076923,0.884615385,0.911936674,0.882692308,0.852464819,0.86730769
0.666666667,0.928846154,0.890384615,0.924038462,0.890384615,0.858807135,0.86923077
0.676767677,0.928846154,0.892307692,0.927806915,0.894230769,0.859615385,0.87091885
0.686868687,0.936538462,0.9,0.930769231,0.898076923,0.864607615,0.87977122
0.696969697,0.938461538,0.901923077,0.934615385,0.9,0.867307692,0.88431331
0.707070707,0.940384615,0.905769231,0.934615385,0.903846154,0.872321036,0.89074956
0.717171717,0.942307692,0.911538462,0.937432012,0.909615385,0.876923077,0.89483123
0.727272727,0.944230769,0.913461538,0.942307692,0.913461538,0.877945804,0.90492114
0.737373737,0.948076923,0.915384615,0.944230769,0.915384615,0.882692308,0.90961538
0.747474747,0.951923077,0.917307692,0.944230769,0.923076923,0.895065474,0.91519706
0.757575758,0.953846154,0.917307692,0.944230769,0.926923077,0.903846154,0.925
0.767676768,0.957692308,0.923076923,0.944415307,0.926923077,0.905769231,0.925
0.777777778,0.959615385,0.925,0.946153846,0.928846154,0.909228098,0.92772025
0.787878788,0.961538462,0.925,0.947785548,0.934615385,0.917231935,0.92884615
0.797979798,0.963461538,0.932692308,0.95,0.936538462,0.923076923,0.93076923
0.808080808,0.965384615,0.932692308,0.95,0.936538462,0.927721168,0.93935555
0.818181818,0.965384615,0.936538462,0.951398601,0.936538462,0.930769231,0.9420545
0.828282828,0.967307692,0.938461538,0.953846154,0.940384615,0.931479577,0.94230769
0.838383838,0.969230769,0.942307692,0.957692308,0.946153846,0.932998975,0.94230769
0.848484848,0.971153846,0.942307692,0.959615385,0.95,0.941336441,0.94664271
0.858585859,0.974156954,0.944230769,0.959615385,0.95,0.944230769,0.94845231
0.868686869,0.975,0.946153846,0.959615385,0.95,0.95,0.95306969
0.878787879,0.978846154,0.948076923,0.959615385,0.957692308,0.958881717,0.95506561
0.888888889,0.982692308,0.951923077,0.964636752,0.961538462,0.965384615,0.95900175
0.898989899,0.982692308,0.95522533,0.967307692,0.965384615,0.971153846,0.96182271
0.909090909,0.984615385,0.957692308,0.967307692,0.967307692,0.973076923,0.96538462
0.919191919,0.986538462,0.961538462,0.967307692,0.973076923,0.973076923,0.96636519
0.929292929,0.988461538,0.967307692,0.970415695,0.973076923,0.976645731,0.96730769
0.939393939,0.994230769,0.967307692,0.973076923,0.976923077,0.980769231,0.97307692
0.949494949,0.994230769,0.973076923,0.975,0.976923077,0.980769231,0.97692308
0.95959596,0.996153846,0.975,0.977874903,0.978846154,0.982692308,0.97692308
0.96969697,0.996153846,0.975,0.985314685,0.986538462,0.986538462,0.98076923
0.97979798,0.997876198,0.980769231,0.992307692,0.992307692,0.98822556,0.98461538
0.98989899,0.998076923,0.986538462,0.998795649,0.996153846,0.990384615,0.98653846
1,1,1,1,1,1,1